type,term,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,discipline,outcome_type,regression_type
response,treat,Jan-00,-12.61615347,0.70378852,-17.92605748,7.38E-72,-13.99555363,-11.23675332,Geology,Reference Cascade SP,100PercentLm
response,treat,Jan-00,-0.013017169,0.001417777,-9.181394211,4.26E-20,-0.015795961,-0.010238378,Geology,Citation Cascade NC,lm
response,treat,Jan-00,-13.63336737,0.875245665,-15.57661799,1.05E-54,-15.34881736,-11.91791739,Geology,Citation Cascade NC,100PercentLm
response,treat,Jan-00,-0.068802622,0.046001981,-1.495644773,0.134746249,-0.158964848,0.021359603,Geology,Citation Cascade SP,lm
response,treat,Jan-00,-0.585068815,0.563000316,-1.039198023,0.29871265,-1.688529157,0.518391527,Geology,Citation Cascade SP,100PercentLm
response,treat,Jan-00,197.3965535,147.6158048,1.337231835,0.181146973,-91.92510742,486.7182144,Geology,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,-0.025864779,0.004300284,-6.014667113,1.80E-09,-0.034293182,-0.017436377,Business,Reference Cascade NC,lm
response,treat,Jan-00,-27.59147959,4.590918007,-6.010013585,1.86E-09,-36.58951354,-18.59344564,Business,Reference Cascade NC,100PercentLm
response,treat,Jan-00,-0.671943768,0.301693103,-2.227242722,0.025931056,-1.263251384,-0.080636152,Business,Reference Cascade SP,lm
response,treat,Jan-00,-391.9480595,368.7475156,-1.062917153,0.287819523,-1114.679909,330.7837904,Business,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,-5.264753481,3.544648102,-1.485268306,0.137472764,-12.2121361,1.682629138,Business,Reference Cascade SP,100PercentLm
response,treat,Jan-00,-0.025733094,0.018773147,-1.37073951,0.170456173,-0.062527786,0.011061598,Business,Citation Cascade NC,lm
response,treat,Jan-00,-1.768968259,1.151526408,-1.536194261,0.124490743,-4.025918546,0.487982028,Business,Citation Cascade NC,100PercentLm
response,treat,Jan-00,0.240247239,0.2990068,0.803484196,0.421694927,-0.345795321,0.826289799,Business,Citation Cascade SP,lm
response,treat,Jan-00,0.900594112,1.965822162,0.458125933,0.646861969,-2.952346526,4.75353475,Business,Citation Cascade SP,100PercentLm
response,treat,Jan-00,317.3098044,126.9212767,2.5000521,0.012417504,68.54867321,566.0709357,Business,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,5.707886814,0.912023986,6.258483224,3.89E-10,3.920352649,7.495420979,Psychology,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.009687599,0.000484429,-19.99796875,5.74E-89,-0.010637063,-0.008738135,Psychology,Reference Cascade NC,lm
response,treat,Jan-00,-20.77922696,0.850621748,-24.42828085,8.56E-132,-22.44641496,-19.11203897,Psychology,Reference Cascade NC,100PercentLm
response,treat,Jan-00,-1.112643153,0.042881744,-25.94677915,1.98E-148,-1.196689828,-1.028596479,Psychology,Reference Cascade SP,lm
response,treat,Jan-00,-3325.47102,152.2049362,-21.84864107,8.01E-106,-3623.787213,-3027.154826,Psychology,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,-18.9490828,0.637166008,-29.73963229,2.36E-194,-20.19790522,-17.70026037,Psychology,Reference Cascade SP,100PercentLm
response,treat,Jan-00,-0.001026777,0.000970639,-1.057836054,0.290130192,-0.002929193,0.00087564,Psychology,Citation Cascade NC,lm
response,treat,Jan-00,-2.414395708,0.713126725,-3.385647492,0.000710105,-3.812098405,-1.016693011,Psychology,Citation Cascade NC,100PercentLm
response,treat,Jan-00,-0.147429303,0.041966014,-3.513064237,0.00044297,-0.229681179,-0.065177427,Psychology,Citation Cascade SP,lm
